feature,importance (%),model
number_inpatient,0.2577288761363935,One-Hot (M0)
num_lab_procedures,0.08176808849814025,One-Hot (M0)
number_diagnoses,0.05943122335435664,One-Hot (M0)
num_medications,0.05687440397628085,One-Hot (M0)
admission_source_id,0.04419704418132805,One-Hot (M0)
age,0.04354733752274639,One-Hot (M0)
medical_specialty,0.04150862715724302,One-Hot (M0)
diag_1,0.03658802999062599,One-Hot (M0)
time_in_hospital,0.03559820366146683,One-Hot (M0)
insulin,0.03193333417435819,One-Hot (M0)
num_procedures,0.0312579041096594,One-Hot (M0)
number_outpatient,0.030555272876534013,One-Hot (M0)
discharge_disposition_id,0.028545317918101484,One-Hot (M0)
number_emergency,0.028518817785199352,One-Hot (M0)
diag_2,0.026499670966971183,One-Hot (M0)
diag_3,0.025272031983381484,One-Hot (M0)
admission_type_id,0.022101499866770805,One-Hot (M0)
gender,0.017714565102836734,One-Hot (M0)
race,0.016241437467636153,One-Hot (M0)
insulin__prescribed,0.014113023973186353,One-Hot (M0)
A1Cresult,0.012605434634513878,One-Hot (M0)
metformin,0.00998848096409489,One-Hot (M0)
sulfonylureas__prescribed,0.008884470485134814,One-Hot (M0)
insulin__change,0.008368934543945642,One-Hot (M0)
max_glu_serum,0.004806536904900388,One-Hot (M0)
tzds__prescribed,0.004650211337446899,One-Hot (M0)
glipizide,0.004191947299466098,One-Hot (M0)
metformin__prescribed,0.003661401353204303,One-Hot (M0)
glyburide,0.0033198134338176316,One-Hot (M0)
rosiglitazone,0.0028586753000452224,One-Hot (M0)
glimepiride,0.002087986472693245,One-Hot (M0)
pioglitazone,0.0018018820110686099,One-Hot (M0)
repaglinide,0.001241203450177979,One-Hot (M0)
sulfonylureas__change,0.0007090774462214626,One-Hot (M0)
metformin__change,0.0003155257274211679,One-Hot (M0)
meglitinides__prescribed,0.0002742371024608234,One-Hot (M0)
nateglinide,0.00012575712295899574,One-Hot (M0)
glyburide-metformin,0.00011371370721127878,One-Hot (M0)
chlorpropamide,0.0,One-Hot (M0)
alpha_glucosidase__prescribed,0.0,One-Hot (M0)
alpha_glucosidase__change,0.0,One-Hot (M0)
tzds__change,0.0,One-Hot (M0)
meglitinides__change,0.0,One-Hot (M0)
tolbutamide,0.0,One-Hot (M0)
acetohexamide,0.0,One-Hot (M0)
miglitol,0.0,One-Hot (M0)
acarbose,0.0,One-Hot (M0)
tolazamide,0.0,One-Hot (M0)
troglitazone,0.0,One-Hot (M0)
glipizide-metformin,0.0,One-Hot (M0)
glimepiride-pioglitazone,0.0,One-Hot (M0)
metformin-rosiglitazone,0.0,One-Hot (M0)
metformin-pioglitazone,0.0,One-Hot (M0)
number_inpatient,0.3080388065935507,Label (M6)
number_diagnoses,0.07056134744508612,Label (M6)
num_lab_procedures,0.055511264333631426,Label (M6)
age,0.05499662882192145,Label (M6)
num_medications,0.05168945911601073,Label (M6)
diag_1,0.04987416073269591,Label (M6)
admission_source_id,0.04545167269329434,Label (M6)
number_emergency,0.043648582611848556,Label (M6)
medical_specialty,0.039259415766373366,Label (M6)
number_outpatient,0.038867936453581255,Label (M6)
time_in_hospital,0.028160214098333105,Label (M6)
diag_3,0.027920488081109286,Label (M6)
diag_2,0.027692284722831376,Label (M6)
num_procedures,0.024969298569484957,Label (M6)
discharge_disposition_id,0.0232524311543564,Label (M6)
admission_type_id,0.021011788659959493,Label (M6)
insulin,0.01558773062336969,Label (M6)
race,0.01423317727014473,Label (M6)
A1Cresult,0.012093355849571474,Label (M6)
gender,0.00779033276010266,Label (M6)
insulin__prescribed,0.007347524482058608,Label (M6)
sulfonylureas__prescribed,0.00559808727451917,Label (M6)
tzds__prescribed,0.004061529042891437,Label (M6)
metformin,0.003948350614389376,Label (M6)
glipizide,0.0032014984975090757,Label (M6)
max_glu_serum,0.0028675728583227775,Label (M6)
insulin__change,0.002759212342688452,Label (M6)
rosiglitazone,0.002512313378208772,Label (M6)
glyburide,0.0023499538792769205,Label (M6)
metformin__prescribed,0.002255965561591262,Label (M6)
pioglitazone,0.000963737983020495,Label (M6)
repaglinide,0.0005487942509078504,Label (M6)
glimepiride,0.00037819443316829956,Label (M6)
sulfonylureas__change,0.00026264672258310073,Label (M6)
meglitinides__prescribed,0.00022041678745727785,Label (M6)
metformin__change,0.00011382553415011515,Label (M6)
meglitinides__change,0.0,Label (M6)
chlorpropamide,0.0,Label (M6)
nateglinide,0.0,Label (M6)
alpha_glucosidase__prescribed,0.0,Label (M6)
alpha_glucosidase__change,0.0,Label (M6)
tzds__change,0.0,Label (M6)
tolbutamide,0.0,Label (M6)
acarbose,0.0,Label (M6)
acetohexamide,0.0,Label (M6)
miglitol,0.0,Label (M6)
troglitazone,0.0,Label (M6)
tolazamide,0.0,Label (M6)
glyburide-metformin,0.0,Label (M6)
glipizide-metformin,0.0,Label (M6)
glimepiride-pioglitazone,0.0,Label (M6)
metformin-rosiglitazone,0.0,Label (M6)
metformin-pioglitazone,0.0,Label (M6)
