model,new_features,recall,precision,accuracy,roc_auc,prauc,f1,f2,d_prauc
m0,One-Hot (Reference Only),0.4940724126882409,0.6557051736357193,0.6393376616840304,0.6928724341749736,0.6661044018064348,0.5635278353027166,0.5196935313546184,
m1,"Numerical (Raw, Baseline)",0.48328527181458936,0.6412073118889047,0.6290704111933162,0.669130667087618,0.6473182549385176,0.5511571254567601,0.5083241591588218,
m2,Demographics (Raw),0.491615935063548,0.6380648738563903,0.629020081534048,0.6729428186766795,0.649600046440179,0.5553477710080231,0.515268884610218,0.002281791501661412
m3,Clinical (Grouped),0.5657374773042828,0.6239104829210836,0.6346570033720872,0.6866109617836054,0.6596712683170298,0.5934016691872515,0.5764877454181359,0.010071221876850833
m4,Diagnosis (Grouped),0.5982057033002243,0.6148863761115381,0.6341033771201369,0.6867705314747797,0.6602910120404388,0.6064313555651797,0.6014690406133889,0.0006197437234090053
m5,Prescription Statistics (Grouped),0.5467264765566592,0.6357426726279185,0.6387840354320802,0.6888779970998198,0.6619108073967801,0.5878840080390468,0.5624780239099859,0.0016197953563412693
m6,Prescription (Raw),0.5435223753070597,0.637719298245614,0.6393879913432986,0.6897417005207748,0.6623033439367225,0.5868650175863461,0.5600677936256383,0.000392536539942423
m7,"Clinical (Raw, Target Encoded)",0.5803695396774539,0.626036866359447,0.6388846947506165,0.6909989478454497,0.6634010744831839,0.6023388571745275,0.5889621087314663,0.0010977305464613396
m8,"Diagnosis (Raw, Target Encoded)",0.5506782014311652,0.6421721260430938,0.6436660123810962,0.6987936169439721,0.6699172079833997,0.5929162833486661,0.5668301048789605,0.006516133500215848
m9,Payer Code & Weight (Raw),0.5652034604293495,0.6443443321563375,0.6480950223966984,0.7028136569412566,0.6733023189834823,0.6021847974510697,0.5794372057374356,0.0033851110000825413
