model,new_features,recall,precision,accuracy,roc_auc,prauc,f1,f2,d_prauc
m0,One-Hot (Reference Only),0.536311854752581,0.7028224865873571,0.6746078349131784,0.7428433803383618,0.7192994247641469,0.608379606259465,0.5629881535184424,
m1,"Numerical (Raw, Baseline)",0.4877180491278035,0.6417162396365169,0.6302491401728043,0.6756538041212583,0.6526641422278414,0.5542183296587714,0.5123065762214959,
m2,Demographics (Raw),0.5012103951584194,0.6477272727272727,0.6364734502139082,0.6889098378113865,0.6667072295838554,0.5651266407096697,0.5249597303424413,0.014043087356014006
m3,Clinical (Grouped),0.6033463866144535,0.6594809136542278,0.6662528311383273,0.7284745220974693,0.7040495702559683,0.630166019074532,0.6137955511773951,0.03734234067211284
m4,Diagnosis (Grouped),0.6573869704521182,0.6425862128962662,0.6662192769062998,0.7293259076876433,0.7039312995091853,0.6499023351575836,0.6543725238665599,-0.00011827074678294469
m5,Prescription Statistics (Grouped),0.6364186543253827,0.6894862696698549,0.6935827531247378,0.7647538941686214,0.7418469978976991,0.6618904809507942,0.6463684484553974,0.03791569838851383
m6,Prescription (Raw),0.6059807760768957,0.6523838724513261,0.6621424377149568,0.7219495889523978,0.6954672477067549,0.6283267505813739,0.6147256811024759,-0.0463797501909442
m7,"Clinical (Raw, Target Encoded)",0.5948380206479174,0.6992968946178957,0.6885160640885831,0.7597153293506451,0.7383630410513617,0.642851646660511,0.6131563110073832,0.0428957933446068
m8,"Diagnosis (Raw, Target Encoded)",0.631434674261303,0.7172550446843786,0.7090009227413807,0.7829617500060858,0.7625825185966546,0.6716143811885874,0.6469155074440692,0.024219477545292856
m9,Payer Code & Weight (Raw),0.5933072267710929,0.7138696136383106,0.696267091686939,0.7675203860441103,0.7438820741746521,0.6480286180884983,0.6140480155630554,-0.01870044442200247
