visit,demographics,hospital_util,clinical,diagnosis,medication,other
-0.3608829,-0.042190682,0.074709,-0.52344924,0.110604465,0.025897603,0.020530324
-0.30720827,-0.16928308,0.1473203,-0.55014604,0.06581706,0.114342496,0.05279454
-0.36703497,-0.11089663,0.038531333,0.1138594,0.11636244,0.04201219,0.043129604
-0.43780214,-0.41388637,-0.22690175,-0.01033096,-0.37192413,-0.081415065,0.0355568
-0.32267618,0.056403026,0.015411248,0.11244394,-0.07265081,0.15310808,0.038165987
-0.3554725,0.012982545,0.024504928,-0.05995117,-0.018587194,0.2840581,0.06527707
-0.39371988,0.01253189,-0.0053732544,0.06497924,-0.29554206,0.027183013,0.05677332
-0.408111,-0.095391124,-0.12720342,-0.20820038,0.3410401,0.037698478,0.09104257
-0.35991484,-0.08016671,0.0041311365,0.122008726,0.41454813,0.032376766,0.063385144
-0.3437407,0.007444769,0.07777657,0.28237018,0.4447332,0.039532788,0.05548814
-0.29708868,0.09902939,0.107629426,-0.28156638,0.28550124,0.15494873,0.051629163
-0.33069694,-0.057536144,0.13365602,0.041588005,0.23837264,0.20035557,0.06876158
0.14499083,0.065489605,0.015855959,0.0001809001,0.48494095,0.1550869,0.06494811
-0.35051686,0.12319408,0.08917245,-0.60121584,0.0036866143,0.052653015,0.037578806
-0.32188463,0.07028329,0.082138225,-0.16431125,-0.32782894,0.18381982,0.06851031
-0.3701233,-0.017950533,-0.07096344,0.08504133,0.28663382,0.026205512,0.034060687
-0.37203118,0.083332896,-0.0065877847,-0.434459,-0.118256286,0.01625513,0.036037877
-0.35127008,-0.064599454,0.10875139,0.036431115,0.31439465,-0.03982868,0.0665358
-0.36789373,-0.029297644,-0.052179966,-0.50059277,0.34829807,0.15754731,0.037338182
-0.35468256,-0.3357493,0.065515205,-0.1557245,0.05267597,-0.045650274,0.03328703
-0.35881245,-0.034278274,0.01491786,-0.6276568,0.52966017,0.11119909,0.057386212
0.17435096,-0.04973739,0.041925974,-0.387338,0.49694878,-0.027731484,0.033592477
0.19927931,-0.2653473,-0.13633424,-0.29497164,-0.23178154,0.058152914,0.06675693
-0.3926396,-0.041606776,0.053824537,-0.5540988,0.039788164,-0.053436264,0.036723144
-0.3398505,0.10282563,0.041183293,-0.11168507,0.09593115,-0.050140403,0.048613064
-0.39195484,-0.02550479,-0.11732853,-0.3076258,-0.037034467,0.04862634,0.05823463
-0.37728906,-0.24728104,0.011030637,-0.40511167,0.533733,0.054463424,0.026435638
-0.3108002,0.055785365,0.1010645,-0.21933937,0.33632147,0.05414439,0.0767702
-0.36968133,-0.05694274,0.03296514,-0.17940699,0.206031,0.009366234,0.034580544
-0.33829838,0.09209849,0.034144074,-0.38756296,-0.028476998,0.14072263,0.06483484
-0.3750738,-0.028604731,0.008412646,0.30851653,-0.18565263,-0.045187898,0.08734292
-0.3331251,-0.20801845,0.15779556,0.33334905,0.5618116,-0.043669276,0.048363447
-0.3631305,0.06726482,-0.06251692,0.37785882,-0.060335986,0.10301626,0.046081908
-0.31729943,-0.13252592,-0.07765654,0.20037644,0.35596398,-0.025500957,0.10378896
