concept,mean_shap
Medication [Raw],0.043013353
Clinical (Target-Encoded)[Raw],0.014843869
Other (Weight)[Raw],0.0015530334
Clinical (Assessment)[Raw],0.0013217434
Other (Payer Code)[Raw],0.0003863932
Clinical (Operation)[Grouped],-0.00019602886
Medication (Change Count)[Grouped],-0.00032135862
Utilization [Raw],-0.00044849966
Medication (Distinct Count)[Grouped],-0.000845827
Diagnosis (Target-Encoded)[Raw],-0.0035560592
Demographics [Raw],-0.0035599386
Hospital Visit [Raw],-0.008492813
Diagnosis [Grouped],-0.010051989
