feature,m1,m2,m3,m4,m5,m6,m7,m8,m9
number_inpatient,0.37215126,0.3600574,0.38339835,0.3607336,0.3279505,0.36243436,0.32104582,0.3264123,0.31753924
diag_1_te,,,,,,,,0.095007025,0.091655925
number_outpatient,0.09964574,0.09701001,0.09491373,0.09722293,0.0950537,0.09572174,0.09519364,0.096504465,0.08905085
diag_3_te,,,,,,,,0.09468504,0.088246115
diag_2_te,,,,,,,,0.09109829,0.08696463
number_emergency,0.08216504,0.0834903,0.0788737,0.08214424,0.081851766,0.079314716,0.07712974,0.07879744,0.07914914
payer_code,,,,,,,,,0.0762557
medical_specialty_te,,,,,,,0.055113606,0.06082499,0.060062796
num_medications,0.07834198,0.078352444,0.08894214,0.0811101,0.06693518,0.070220225,0.06809564,0.057658724,0.058009367
age,,0.079092555,0.086546995,0.07817309,0.07080869,0.08040646,0.06174723,0.06629092,0.05304369
number_diagnoses,0.12437448,0.10491807,0.101210944,0.10285844,0.09498535,0.10755143,0.097272985,0.055226117,0.047445837
diag_1,,,,0.10731619,0.093552984,0.10288093,0.09717461,0.045568977,0.047122452
admission_source_id_te,,,,,,,0.05729253,0.04885509,0.046177026
acarbose,,,,,,0.0,0.11941939,0.0,0.043176252
discharge_disposition_id_te,,,,,,,0.04324818,0.0484954,0.04224299
diag_2,,,,0.050424557,0.046399392,0.050960146,0.04208614,0.043356154,0.038645476
admission_source_id,,,0.07208994,0.072675034,0.067627676,0.06872107,0.03738097,0.03494881,0.037393603
diag_3,,,,0.0452684,0.043653633,0.043355636,0.038485393,0.036991514,0.035055965
num_procedures,0.07787149,0.080675185,0.06633709,0.06134643,0.05435655,0.057617877,0.05039007,0.03573834,0.03423868
weight,,,,,,,,,0.030337866
medical_specialty,,,0.06264804,0.053854696,0.05165429,0.05227455,0.028706038,0.021227086,0.027992731
num_lab_procedures,0.041056685,0.042543054,0.055884868,0.0466643,0.043143418,0.040921975,0.03810173,0.0335642,0.027601257
race,,0.027403224,0.02995073,0.029016385,0.028985118,0.027722912,0.028429426,0.027802812,0.027489059
admission_type_id_te,,,,,,,0.03396915,0.034819163,0.026424224
A1Cresult,,,0.02986172,0.0313186,0.030718649,0.030003035,0.03290455,0.028666034,0.025838839
insulin,,,,,,0.03107967,0.024363002,0.020295812,0.025646605
gender,,0.0075041163,0.01828871,0.021765562,0.023118222,0.01993033,0.017312868,0.02523167,0.024049422
tzds__prescribed,,,,,0.024586922,0.01582249,0.014134571,0.016034907,0.016404629
discharge_disposition_id,,,0.03272571,0.028155604,0.027564732,0.026791368,0.017314741,0.018018462,0.015325178
time_in_hospital,0.039381642,0.037313253,0.04259148,0.045979995,0.045725048,0.047179654,0.03585241,0.020813588,0.01526301
sulfonylureas__prescribed,,,,,0.019911176,0.013957608,0.0149483755,0.0151551515,0.0144689325
insulin__prescribed,,,,,0.01582016,0.0119267,0.013630543,0.012216363,0.013750955
admission_type_id,,,0.0396473,0.039310534,0.034550305,0.037649404,0.017010698,0.012851749,0.012945909
insulin__change,,,,,0.035146985,0.0091800885,0.016057909,0.009363593,0.011658734
rosiglitazone,,,,,,0.008211509,0.0075786663,0.008565738,0.0077465875
glipizide,,,,,,0.009255613,0.00973068,0.006376848,0.0061427215
metformin,,,,,,0.014520234,0.012894376,0.00455103,0.0048242626
max_glu_serum,,,0.006802269,0.0056965454,0.00679155,0.004920911,0.006480431,0.005366491,0.0046000755
metformin__prescribed,,,,,0.019973265,0.0057084383,0.009613561,0.004049213,0.003986389
pioglitazone,,,,,,0.0024720535,0.0035610748,0.0030115012,0.0034749096
glyburide,,,,,,0.0030544645,0.003459514,0.0030269348,0.0025063828
glimepiride,,,,,,0.001418568,0.0020238566,0.0013065832,0.0010203911
repaglinide,,,,,,0.0017879007,0.0014688243,0.0013646166,0.000891922
sulfonylureas__change,,,,,0.0017573845,0.0010893659,0.0014401898,0.00036445138,0.0006490247
meglitinides__prescribed,,,,,0.0021284658,0.0006021652,0.0011565568,0.00019220324,0.00056155666
glyburide-metformin,,,,,,0.0,0.0007022799,0.00039617554,0.00036393988
alpha_glucosidase__prescribed,,,,,0.0008340496,0.0,0.0006307971,0.0,0.00030635725
metformin__change,,,,,0.0007374623,0.0005102591,0.000910748,0.00033342812,0.00012570892
tzds__change,,,,,7.624663e-05,0.0,2.593613e-05,0.0,2.5159234e-05
meglitinides__change,,,,,0.0,0.0,1.4641579e-05,0.0,0.0
alpha_glucosidase__change,,,,,0.0,0.0,0.0,0.0,0.0
nateglinide,,,,,,0.0,0.009391613,0.0020888536,0.0
chlorpropamide,,,,,,0.0,2.6650887e-06,0.0,0.0
acetohexamide,,,,,,0.0,0.0,0.0,0.0
troglitazone,,,,,,0.0,0.0,0.0,0.0
miglitol,,,,,,0.0,0.0,0.0,0.0
tolbutamide,,,,,,0.0,0.0,0.0,0.0
metformin-pioglitazone,,,,,,0.0,0.0,0.0,0.0
tolazamide,,,,,,0.0,0.0,0.0,0.0
metformin-rosiglitazone,,,,,,0.0,0.0,0.0,0.0
glimepiride-pioglitazone,,,,,,0.0,0.0,0.0,0.0
glipizide-metformin,,,,,,0.0,0.0,0.0,0.0
