numerical,demographics,clinical_group,clinical_te,diagnosis_group,diagnosis_te,medication_group,medication,other
-0.2861739,-0.042190682,-0.05884967,-0.46459958,0.05695923,0.053645235,0.014824808,0.011072797,0.020530324
-0.15988795,-0.16928308,-0.20410492,-0.34604102,0.022338405,0.043478653,0.042230748,0.072111756,0.05279454
-0.32850364,-0.11089663,0.06807271,0.045786694,0.06533667,0.05102577,0.007634864,0.034377325,0.043129604
-0.6647039,-0.41388637,0.012431169,-0.022762127,0.020645436,-0.39256957,-0.06123564,-0.020179415,0.0355568
-0.30726495,0.056403026,0.0860457,0.026398238,0.050909996,-0.12356081,0.04046443,0.11264365,0.038165987
-0.33096758,0.012982545,0.003979113,-0.06393029,0.15506539,-0.17365259,0.122473374,0.16158472,0.06527707
-0.39909315,0.01253189,0.055427484,0.009551764,-0.029111128,-0.26643094,-0.0065429127,0.03372593,0.05677332
-0.53531444,-0.095391124,0.05679854,-0.26499888,-0.037788622,0.37882873,0.0088641085,0.028834369,0.09104257
-0.3557837,-0.08016671,0.02925489,0.09275384,0.0020803325,0.4124678,0.005022888,0.02735388,0.063385144
-0.26596412,0.007444769,0.07242711,0.20994309,0.0630843,0.3816489,0.011302816,0.02822997,0.05548814
-0.18945923,0.09902939,-0.1940357,-0.08753075,-0.05330509,0.3388063,0.05548846,0.099460274,0.051629163
-0.19704092,-0.057536144,0.027471248,0.014116758,0.06087129,0.17750135,0.08927496,0.11108061,0.06876158
0.16084678,0.065489605,0.005969234,-0.0057883337,0.096584395,0.38835657,0.04437137,0.110715516,0.06494811
-0.2613444,0.12319408,-0.23087299,-0.37034288,-0.004495798,0.008182414,0.009304165,0.04334885,0.037578806
-0.2397464,0.07028329,-0.06939175,-0.0949195,0.095035955,-0.42286488,0.06951814,0.11430167,0.06851031
-0.4410867,-0.017950533,0.07281264,0.012228686,0.02731222,0.2593216,-0.0015222952,0.027727807,0.034060687
-0.37861896,0.083332896,-0.030942887,-0.4035161,0.057826657,-0.17608294,-0.0027483013,0.019003432,0.036037877
-0.2425187,-0.064599454,0.031235093,0.005196019,0.092369825,0.22202483,-0.051035892,0.011207202,0.0665358
-0.4200737,-0.029297644,-0.060037214,-0.44055557,0.1537767,0.19452138,0.050831564,0.10671575,0.037338182
-0.28916734,-0.3357493,0.063430876,-0.21915536,0.07117663,-0.018500663,-0.042797044,-0.0028532299,0.03328703
-0.3438946,-0.034278274,-0.26445293,-0.36320388,0.106246546,0.42341366,0.027252326,0.083946764,0.057386212
0.21627694,-0.04973739,-0.015100261,-0.37223774,0.10759008,0.3893587,-0.03937703,0.01164555,0.033592477
0.06294507,-0.2653473,-0.18612386,-0.10884781,0.034023464,-0.265805,0.014769759,0.04338316,0.06675693
-0.33881506,-0.041606776,-0.21470533,-0.33939347,0.00078477245,0.039003395,-0.05189271,-0.0015435539,0.036723144
-0.2986672,0.10282563,-0.20697285,0.095287785,0.06774481,0.028186342,-0.056725204,0.006584812,0.048613064
-0.50928336,-0.02550479,0.033752427,-0.34137824,0.08295175,-0.11998622,0.0030956287,0.045530714,0.05823463
-0.3662584,-0.24728104,-0.03457006,-0.37054157,0.013800506,0.5199325,0.02594715,0.028516268,0.026435638
-0.20973568,0.055785365,-0.1925664,-0.026772974,0.2101061,0.12621535,-0.004872132,0.05901652,0.0767702
-0.3367162,-0.05694274,-0.17286062,-0.0065463632,0.017806195,0.1882248,-0.01340867,0.022774903,0.034580544
-0.30415434,0.09209849,-0.100896016,-0.28666693,0.064331345,-0.09280835,0.03578687,0.10493575,0.06483484
-0.36666116,-0.028604731,0.14635588,0.16216065,0.0071417447,-0.19279437,-0.05675502,0.011567125,0.08734292
-0.17532955,-0.20801845,0.12974048,0.20360854,0.11465821,0.44715345,-0.056448765,0.012779489,0.048363447
-0.42564747,0.06726482,0.17981732,0.1980415,0.04960084,-0.109936826,0.0028899168,0.10012634,0.046081908
-0.394956,-0.13252592,0.061688464,0.13868797,0.047997657,0.30796632,-0.047181647,0.021680687,0.10378896
-0.2741184,0.08055949,0.24379122,0.2105552,-0.049312048,0.3493102,0.010763054,0.047408126,0.08051546
-0.18386072,-0.02169363,0.1490941,0.21034962,0.15370223,0.030198772,0.11667427,0.1848124,0.09998518
-0.25537252,0.00061195716,0.105815664,0.09761476,0.08583261,-0.10503118,0.0028987299,0.07987078,0.075161174
-0.25451627,-0.15939459,0.10336587,0.23760188,-0.077050425,-0.057422668,-0.07050395,0.0020832187,0.06492399
-0.35707876,-0.08609203,0.10610397,0.15908566,-0.023644064,0.35674548,-0.043163233,0.017058099,0.084475234
-0.23031202,-0.033741266,-0.0036652945,0.1187215,-0.07167765,-0.010208812,0.009618501,0.012277858,0.053069413
-0.4780504,-0.09458283,0.07540912,0.15789276,-0.032696363,-0.32162434,-0.04983506,0.013390776,0.0828491
-0.3010532,0.08881853,-0.0016958937,-0.22565398,0.08087905,-0.03169532,-0.003956395,0.032431617,0.07445356
-0.34031466,0.07794757,0.035847954,-0.040714785,0.056775734,-0.16900879,-0.0109332455,0.03165738,0.061615843
0.34217763,0.017710574,0.084059805,0.066128545,0.019208279,0.060041808,0.008447617,0.051144972,0.08731217
