,number_inpatient,discharge_disposition_id_te,admission_source_id_te,number_outpatient,admission_type_id_te,number_emergency,payer_code,diag_1_te,num_medications,acarbose,diag_2_te,number_diagnoses,age,diag_1,admission_source_id,diag_2,medical_specialty_te,diag_3,num_procedures,weight,A1Cresult,insulin,race,gender,diag_3_te,medical_specialty,num_lab_procedures,sulfonylureas__prescribed,insulin__prescribed,tzds__prescribed,time_in_hospital,insulin__change,admission_type_id,rosiglitazone,discharge_disposition_id,glipizide,metformin,max_glu_serum,pioglitazone,metformin__prescribed,glyburide,repaglinide,glimepiride,sulfonylureas__change,meglitinides__prescribed,glyburide-metformin,metformin__change,alpha_glucosidase__prescribed,tzds__change,miglitol,metformin-pioglitazone,metformin-rosiglitazone,glimepiride-pioglitazone,glipizide-metformin,tolbutamide,tolazamide,troglitazone,meglitinides__change,acetohexamide,alpha_glucosidase__change,nateglinide,chlorpropamide
number_inpatient,0.3278722763061523,0.0063791181892156,0.0060316636227071,0.0033153924159705,0.0051548113115131,0.0054279305040836,0.0052429740317165,0.0032886525150388,0.0027007381431758,0.0005797788035124,0.0021799942478537,0.0064513213001191,0.018358776345849,0.0058513139374554,0.0015041572041809,0.004520006943494,0.0099989902228116,0.0057676434516906,0.0012209503911435,0.0021935799159109,0.003417654428631,0.0010798900621011,0.0014302534982562,0.0009479805012233,0.0020138164982199,0.0036023987922817,0.0028771255165338,0.0030656626913696,0.000778077810537,0.0016346889315173,0.0032947792205959,0.0008646253845654,0.0008135938551276,0.0016084320377558,0.0088268155232071,0.0015322035178542,0.0011433362960815,0.0002275102597195,0.0004593293124344,0.0010617072694003,0.0013890480622649,9.609142580302432e-05,8.104326843749732e-05,7.446019299095497e-05,7.695660315221176e-05,1.192531271954067e-06,3.295084025012329e-05,1.878512989605952e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discharge_disposition_id_te,0.0063791223801672,0.0943459346890449,0.0062296441756188,0.0013583005638793,0.0034617655910551,0.0014102470595389,0.0032786019146442,0.0027433005161583,0.002328221919015,0.0,0.0015871324576437,0.001586074125953,0.0052373725920915,0.0047110584564507,0.0016295089153572,0.0044388803653419,0.0022521140053868,0.0033768436405807,0.0039957612752914,0.0008889194577932,0.001491496223025,0.002160386648029,0.0010619962122291,0.0014081144472584,0.0015106300124898,0.0022339227143675,0.0031051924452185,0.0013524291571229,0.001150999800302,0.000586916168686,0.0016289509367197,0.0005684411735273,0.000603052729275,0.0002722312055993,0.001563576166518,0.0009612197754904,0.0004766730417031,0.000312885036692,0.000382912956411,0.0002799283538479,0.0001785130007192,2.463376404193696e-06,9.45020219660364e-05,1.3865052324035787e-06,5.30428696947638e-05,1.1610451110755092e-05,1.3442346471492783e-06,1.546248427075625e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admission_source_id_te,0.0060316650196909,0.0062296432442963,0.0907265096902847,0.002326721092686,0.0039945081807672,0.0025543412193655,0.003204520093277,0.0028154188767075,0.0041884519159793,8.714200521353632e-05,0.0023452597670257,0.0036466927267611,0.0054761739447712,0.0044179665856063,0.0027216901071369,0.0026971551124006,0.0061378562822937,0.0036434477660804,0.002967903856188,0.001166891073808,0.0012565933866426,0.0009364107390865,0.0011409698054194,0.001399515196681,0.0030277993064373,0.0028610983863472,0.0044298064894974,0.0007202465785667,0.0006146519444882,0.0009645423851907,0.0023302710615098,0.0004844265349674,0.0014752914430573,0.0004636687226593,0.003020407166332,0.0006618577754124,0.0004513559688348,0.0001451503485441,0.0001626350713195,0.0003200559294782,0.0003965148353017,1.1350632121320814e-05,0.0001511358714196,3.527600347297266e-05,2.0218689314788207e-05,2.4043486064329045e-06,2.9786637242068537e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_outpatient,0.0033153924159705,0.0013583012623712,0.0023267220240086,0.0906745865941047,0.0022822543978691,0.0011615171097218,0.0034774725791066,0.0016703767469152,0.0010947032133117,0.0001983570837182,0.0013132316526025,0.0011644273763522,0.0008100654813461,0.0015790564939379,0.0009343569981865,0.001324328710325,0.000676201772876,0.0015109768137335,0.0007182987174019,0.0003704153641592,0.0008383712847717,0.0014121334534138,0.0005780476494692,0.000458085007267,0.0018620796035975,0.0013105433899909,0.0036501847207546,0.0006151510169729,0.0006378652760758,0.0002463856944814,0.0006213493761606,0.000445190235041,0.0006380761624313,5.540362690226175e-05,0.00058510445524,0.0002944905718322,0.0009714719490148,0.000588952563703,0.0001181324623757,0.001620500232093,6.740941171301529e-05,4.1963216062868014e-05,0.0003682535316329,4.881816948909545e-06,6.735775059496518e-06,9.529105227557013e-06,6.243475581868552e-06,8.03464672571863e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admission_type_id_te,0.0051548141054809,0.0034617655910551,0.0039945081807672,0.0022822548635303,0.0869309827685356,0.0016250628978013,0.0034214286133646,0.0031754435040056,0.0021913107484579,0.0007103289826773,0.0028701969422399,0.0019863585475832,0.0046665593981742,0.0028333400841802,0.0014091279590502,0.0035461573861539,0.0031145287211984,0.0041585997678339,0.0025891370605677,0.0005215069977566,0.0015374738723039,0.00210384093225,0.0024916802067309,0.0015346653526648,0.0015064801555126,0.002654819516465,0.0027434059884399,0.000849675387144,0.0006984965293668,0.0005400835070759,0.0017011547461152,0.0004704907478298,0.0008254021522589,0.0007564324187114,0.0020298389717936,0.0008404268301092,0.0005760605563409,0.00014572199143,0.0001517176569905,0.0006316935759969,0.0001570487802382,0.0001136253631557,0.0001389608660247,3.3416748919989914e-05,6.442743324441835e-05,1.0677339332687552e-06,5.4154206736711785e-05,8.060557661337953e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number_emergency,0.0054279332980513,0.0014102464774623,0.0025543412193655,0.0011615175753831,0.0016250619664788,0.0843957811594009,0.0025564627721905,0.001181065570563,0.0009653284214437,0.0,0.000785103184171,0.0013925704406574,0.0036969012580811,0.0014163732994347,0.0003993605496361,0.00107455230318,0.0022296162787824,0.0010161735117435,0.0014076459920033,0.0005819046054966,0.000387497479096,0.0004641141858883,0.0005338090704753,0.0002258826280012,0.0005553105147555,0.0005824213149026,0.0011922830017283,0.000655539392028,0.0001448194670956,0.0002537393593229,0.0010987289715558,0.0002549512719269,0.0003540124744176,0.0001720336294965,0.0019340201979503,0.0011753978906199,0.0002817087224684,6.189791747601703e-05,3.383480361662805e-05,7.449814438587055e-05,3.196806937921792e-05,3.578463656594977e-05,1.9692837668117136e-05,1.712111770757474e-05,1.8297329006600197e-05,1.3279602626425913e-06,5.937687092227861e-06,1.515585097422445e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
payer_code,0.0052429754287004,0.0032786030787974,0.0032045203261077,0.0034774718806147,0.003421428380534,0.0025564632378518,0.065526083111763,0.0075743910856544,0.0034542449284344,0.0,0.0030188290402293,0.0052965036593377,0.0037051138933748,0.0030628878157585,0.0038274857215583,0.0030398729722946,0.0023725810460746,0.0024226231034845,0.001924326759763,0.0020589439664036,0.0009552583796903,0.0035467536654323,0.0044861994683742,0.0008613893296569,0.0033849827013909,0.007292790338397,0.0027107258792966,0.0016225974541157,0.0028104481752961,0.0002956807147711,0.0016002177726477,0.0006070259260013,0.0013393167173489,0.0003186948306392,0.001561630400829,0.0006933823460713,0.0008274855790659,0.0014603773597627,0.0001334644912276,0.0006834730156697,0.0004016739840153,4.479439667193219e-05,0.0001021326752379,7.802709296811372e-05,9.553170457365924e-06,1.975281156774145e-05,6.138044454928604e-07,8.10487222224765e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diag_1_te,0.0032886513508856,0.0027433014474809,0.0028154181782156,0.0016703766304999,0.0031754437368363,0.0011810652213171,0.007574392016977,0.0634860247373581,0.0018888359190896,0.0002271478879265,0.0017790042329579,0.00218071276322,0.0025316905230283,0.0018610538681969,0.0018294090405106,0.0028337500989437,0.0014219423756003,0.0021111799869686,0.0013533574528992,0.0004647456516977,0.0008367443224415,0.0012209652923047,0.0018920775037258,0.0029130489565432,0.0032004085369408,0.0010729465866461,0.0033764180261641,0.0003650047874543,0.0010860895272344,0.0005827755667269,0.0007893266738392,0.0006909455405548,0.0026848595589399,0.0003659438516478,0.0013570627197623,0.0002062740823021,0.0002967668406199,0.000439132360043,0.0001218502075062,0.0002087773318635,9.339996904600412e-05,1.4841985830571502e-05,0.0002055133372778,1.565237107570283e-05,5.3986947023076937e-05,2.64061395682802e-06,1.8425340385874733e-05,1.924498889138704e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_medications,0.0027007397729903,0.0023282209876924,0.0041884519159793,0.0010947028640657,0.0021913102827966,0.0009653290035203,0.0034542449284344,0.0018888355698436,0.0580690428614616,0.0,0.0028959603514522,0.0013352361274883,0.0049898666329681,0.0032269172370433,0.0024457240942865,0.0022619650699198,0.0016038221074268,0.0016993075842037,0.0045654913410544,0.0009584649815224,0.0008384649408981,0.0016644897405058,0.0005923502030782,0.0011243061162531,0.0022814332041889,0.0019157419446855,0.0030814420897513,0.0006500818417407,0.0006064737681299,0.0003254515759181,0.0013414433924481,0.0005694145220331,0.0012735078344121,0.0001366466749459,0.0007994367624633,0.0004769633815158,0.0002527314354665,0.0001172056436189,0.000144188379636,0.0002863366389647,0.0001707994670141,2.4699065761524253e-06,8.912222983781248e-05,2.3633636374142952e-05,1.6385685739805922e-05,1.311886080657132e-06,1.8372885506323653e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acarbose,0.000579779210966,0.0,8.714214345673099e-05,0.0001983570109587,0.0007103289826773,0.0,0.0,0.0002271481062052,0.0,0.0508773438632488,3.33869356836658e-05,3.7499990867218e-05,0.0,0.0004821164184249,0.0,0.0006820844719186,0.0001372065016767,0.0002436289360048,0.0,2.0346657038317065e-05,0.0,3.428916170378216e-05,0.0,0.0001709211210254,5.135066385264509e-05,0.0001135093189077,0.0,2.1839337932760827e-05,0.0,0.0,0.0001183018321171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
