,importance
number_inpatient,0.3971720791463156
admission_source_id_te,0.1378099547542888
discharge_disposition_id_te,0.13452055135138608
admission_type_id_te,0.1264637320862505
payer_code,0.11592034275838614
number_outpatient,0.11334412240620395
number_emergency,0.10512025133816394
diag_1_te,0.09700779957285732
age,0.09300010137778258
num_medications,0.08985817338322022
number_diagnoses,0.07857834678998188
diag_1,0.07742573565792554
diag_2_te,0.07385000086912896
medical_specialty_te,0.07250747537608504
diag_2,0.06983159898732083
diag_3,0.0665467262252264
admission_source_id,0.06344332755486448
num_procedures,0.05682334891412211
medical_specialty,0.053187822578138366
acarbose,0.05285196226395783
num_lab_procedures,0.05249746314530057
diag_3_te,0.05046767476608238
insulin,0.04306252474989947
race,0.04256331489384024
gender,0.039065690791176166
weight,0.03866239004548788
A1Cresult,0.03865102714156876
time_in_hospital,0.03293137454818407
discharge_disposition_id,0.02814783817161981
sulfonylureas__prescribed,0.02688345578480522
insulin__prescribed,0.025525850765461655
admission_type_id,0.023616878332347824
tzds__prescribed,0.021070260520900774
insulin__change,0.018468249697718875
rosiglitazone,0.01300389093746901
glipizide,0.012418445386408905
metformin,0.011128342399899793
metformin__prescribed,0.009208980209677975
max_glu_serum,0.008395255168295535
pioglitazone,0.006440674129180479
glyburide,0.004809054419936842
glimepiride,0.002256423860188761
repaglinide,0.0014072933537647714
sulfonylureas__change,0.0012093013091316607
meglitinides__prescribed,0.0008090311522437332
metformin__change,0.0005141363985785574
glyburide-metformin,0.0004856332766394189
alpha_glucosidase__prescribed,0.0003065219990574519
tzds__change,2.1067624402348883e-05
acetohexamide,0.0
meglitinides__change,0.0
chlorpropamide,0.0
nateglinide,0.0
alpha_glucosidase__change,0.0
metformin-pioglitazone,0.0
metformin-rosiglitazone,0.0
glimepiride-pioglitazone,0.0
glipizide-metformin,0.0
tolazamide,0.0
tolbutamide,0.0
miglitol,0.0
troglitazone,0.0
