number,value,datetime_start,datetime_complete,duration,params_LeakyReLU_alpha,params_batch_size,params_dense_units,params_dropout_rate,params_embedding_dim,params_filters_l1,params_filters_l2,params_filters_l3,params_kernel_regularizer,params_kernel_size,params_learning_rate,params_n_conv_layers,params_positive_class_weight,user_attrs_best_epoch,user_attrs_best_val_pr_auc,user_attrs_best_val_precision,user_attrs_best_val_recall,user_attrs_best_val_roc_auc,state
0,0.6495426893234253,2026-07-22 11:49:36.750215,2026-07-22 11:54:51.051358,0 days 00:05:14.301143,0.05,512,256,0.05,7,16,32.0,,0.0005722003617255471,2,0.0011859261102275202,2,1.1,35,0.6495426893234253,0.6225806474685669,0.5359393358230591,0.6733656525611877,COMPLETE
1,0.6502493619918823,2026-07-22 11:54:51.081500,2026-07-22 11:56:53.776332,0 days 00:02:02.694832,0.05,256,64,0.25,2,32,,,2.676150521673951e-07,5,0.002116171188271676,1,1.35,30,0.6502493619918823,0.5736995339393616,0.6937947273254395,0.6717706918716431,COMPLETE
2,0.6467997431755066,2026-07-22 11:56:53.812445,2026-07-22 12:00:38.619638,0 days 00:03:44.807193,0.2,256,64,0.45,5,64,,,0.00077430905370314,3,0.0001751999147135912,1,1.3,50,0.6467997431755066,0.5736789107322693,0.6690163612365723,0.6675294637680054,COMPLETE
3,0.644640326499939,2026-07-22 12:00:38.638700,2026-07-22 12:08:50.041735,0 days 00:08:11.403035,0.2,512,32,0.0,6,64,64.0,,8.613636741878217e-05,2,6.054418931619763e-05,2,1.0,50,0.644640326499939,0.6326281428337097,0.4982377588748932,0.6711215972900391,COMPLETE
4,0.6528290510177612,2026-07-22 12:08:50.094176,2026-07-22 12:29:44.016367,0 days 00:20:53.922191,0.2,512,32,0.05,7,128,16.0,128.0,1.0922985159568007e-07,3,0.0012649445125726636,3,1.0,38,0.6528290510177612,0.6329442262649536,0.5212004780769348,0.6769445538520813,COMPLETE
5,0.6337904930114746,2026-07-22 12:29:44.050510,2026-07-22 12:34:20.675277,0 days 00:04:36.624767,0.1,128,256,0.05,6,32,,,5.079835872866446e-06,2,2.2100802491070566e-05,1,1.35,50,0.6337904930114746,0.5794086456298828,0.6425291299819946,0.6612020134925842,COMPLETE
6,0.6291061043739319,2026-07-22 12:34:20.692115,2026-07-22 12:41:14.232460,0 days 00:06:53.540345,0.05,256,128,0.25,6,16,32.0,32.0,0.0008975692652490248,2,2.6298227371452857e-05,3,1.4,50,0.6291061043739319,0.5543246269226074,0.7214568257331848,0.6550661325454712,COMPLETE
7,0.6487720608711243,2026-07-22 12:41:14.250591,2026-07-22 12:48:24.027796,0 days 00:07:09.777205,0.3,128,32,0.1,3,64,16.0,,4.7558030105570076e-05,2,0.0006549349408134297,2,1.4,48,0.6487720608711243,0.5600295662879944,0.7278649806976318,0.6709914207458496,COMPLETE
8,0.6473574638366699,2026-07-22 12:48:24.079075,2026-07-22 12:52:56.212129,0 days 00:04:32.133054,0.2,128,32,0.1,8,32,,,3.5168538555039675e-05,2,0.00028981694836378505,1,1.05,49,0.6473574638366699,0.6246150135993958,0.5198120474815369,0.6694700717926025,COMPLETE
9,0.6429252028465271,2026-07-22 22:41:41.522932,2026-07-22 22:42:25.585881,0 days 00:00:44.062949,0.2,512,32,0.35000000000000003,2,16,128.0,,0.0001244105682745209,2,0.00029186305798736063,2,1.4,30,0.6429252028465271,0.5695679783821106,0.6772401928901672,0.6648883819580078,COMPLETE
10,0.6062833070755005,2026-07-22 22:42:25.593236,2026-07-22 22:44:28.162109,0 days 00:02:02.568873,0.1,512,128,0.5,4,128,16.0,128.0,1.346032809143511e-07,3,1.0868862035628465e-05,3,1.2,30,0.6062833070755005,0.5577313899993896,0.6448788046836853,0.6321957111358643,COMPLETE
11,0.6514947414398193,2026-07-22 22:44:28.167867,2026-07-22 22:46:00.429533,0 days 00:01:32.261666,0.05,256,64,0.2,2,128,16.0,64.0,1.1496605731498874e-07,5,0.0026921288800124746,3,1.2,24,0.6514947414398193,0.5823357701301575,0.6598312258720398,0.6755267381668091,COMPLETE
12,0.6514306664466858,2026-07-22 22:46:00.435223,2026-07-22 22:47:55.307876,0 days 00:01:54.872653,0.3,256,64,0.2,4,128,16.0,64.0,6.685132703233785e-07,5,0.0028972511562908947,3,1.15,30,0.6514306664466858,0.6095216870307922,0.5825055837631226,0.6750131249427795,COMPLETE
