number,value,datetime_start,datetime_complete,duration,params_LeakyReLU_alpha,params_batch_size,params_dense_units,params_dropout_rate,params_embedding_dim,params_filters_l1,params_filters_l2,params_filters_l3,params_filters_l4,params_kernel_regularizer,params_kernel_size,params_learning_rate,params_n_conv_layers,params_pooling_type,params_positive_class_weight,user_attrs_best_epoch,user_attrs_best_val_pr_auc,user_attrs_best_val_precision,user_attrs_best_val_recall,user_attrs_best_val_roc_auc,state
0,0.6511794328689575,2026-07-24 15:04:30.496060,2026-07-24 15:05:30.131029,0 days 00:00:59.634969,0.2,128,128,0.05,6,32,,,,7.496582607740011e-05,3,0.0022014664399725176,1,average,1.4,29,0.6511794328689575,0.552288830280304,0.7744312882423401,0.6736593246459961,COMPLETE
1,0.6449849605560303,2026-07-24 15:05:30.139128,2026-07-24 15:09:32.770298,0 days 00:04:02.631170,0.05,128,32,0.25,7,128,128.0,16.0,128.0,0.00022896140688774896,5,1.8670857560402456e-05,4,average,1.15,30,0.6449849605560303,0.6130647659301758,0.5623197555541992,0.6702232360839844,COMPLETE
2,0.6184318661689758,2026-07-24 15:09:32.775820,2026-07-24 15:11:20.906487,0 days 00:01:48.130667,0.05,128,64,0.4,7,16,128.0,,,1.2666578941948516e-07,3,1.6929373174487314e-05,2,max,1.4,30,0.6184318661689758,0.5679793357849121,0.6808714866638184,0.6517209410667419,COMPLETE
3,0.6466573476791382,2026-07-24 15:11:20.912383,2026-07-24 15:12:47.724723,0 days 00:01:26.812340,0.05,128,32,0.4,4,128,,,,3.653581674130992e-05,3,0.0015217162628944198,1,max,1.05,23,0.6466573476791382,0.6825365424156189,0.36900565028190613,0.6701098084449768,COMPLETE
4,0.6446027755737305,2026-07-24 15:12:47.729985,2026-07-24 15:14:22.586727,0 days 00:01:34.856742,0.3,256,32,0.25,3,128,16.0,32.0,128.0,0.0004587421122164118,3,6.049275951827406e-05,4,max,1.4,30,0.6446027755737305,0.5605121850967407,0.7246608734130859,0.6681391000747681,COMPLETE
5,0.6485176682472229,2026-07-24 15:14:22.591647,2026-07-24 15:15:53.859056,0 days 00:01:31.267409,0.1,128,32,0.25,4,128,16.0,,,3.826187774848969e-05,3,0.0017444490002404497,2,average,1.0,28,0.6485176682472229,0.6486609578132629,0.45530277490615845,0.671515703201294,COMPLETE
6,0.6478087902069092,2026-07-24 15:15:53.864282,2026-07-24 15:17:51.241941,0 days 00:01:57.377659,0.3,256,64,0.2,2,128,128.0,,,0.00010628468869798978,5,1.6219297695319244e-05,2,max,1.15,29,0.6478087902069092,0.6216349601745605,0.5376482009887695,0.6699240207672119,COMPLETE
7,0.6327539682388306,2026-07-24 15:17:51.247459,2026-07-24 15:20:00.419582,0 days 00:02:09.172123,0.1,128,128,0.30000000000000004,6,128,16.0,32.0,,7.363806641886656e-07,3,2.208673908531473e-05,3,max,1.1,30,0.6327539682388306,0.6163260340690613,0.5217344760894775,0.6587973833084106,COMPLETE
8,0.6361522674560547,2026-07-24 15:20:00.424925,2026-07-24 15:20:27.633771,0 days 00:00:27.208846,0.1,256,32,0.0,4,16,,,,0.00011708416037777143,5,0.0001125096417975169,1,average,1.0,30,0.6361522674560547,0.6165907979011536,0.5207732319831848,0.6637817621231079,COMPLETE
9,0.6532153487205505,2026-07-24 15:20:27.639128,2026-07-24 15:22:44.657271,0 days 00:02:17.018143,0.1,128,32,0.05,2,128,128.0,128.0,128.0,4.469523061294128e-05,3,0.0017253291550370189,4,average,1.35,16,0.6532153487205505,0.5673747062683105,0.7388657331466675,0.678817093372345,COMPLETE
10,0.6534587144851685,2026-07-24 15:22:44.664723,2026-07-24 15:24:19.193963,0 days 00:01:34.529240,0.2,256,64,0.15000000000000002,8,64,32.0,128.0,,2.7639291741790726e-06,5,0.000488886254971086,3,average,1.25,17,0.6534587144851685,0.5756474137306213,0.6932607293128967,0.6776875853538513,COMPLETE
11,0.6536338329315186,2026-07-24 15:24:19.200035,2026-07-24 15:25:53.885327,0 days 00:01:34.685292,0.2,256,64,0.1,8,64,32.0,128.0,,3.7916722120634424e-06,5,0.00045308286337557014,3,average,1.3,17,0.6536338329315186,0.576068103313446,0.7085335850715637,0.6786259412765503,COMPLETE
12,0.6529191732406616,2026-07-24 15:25:53.891768,2026-07-24 15:27:46.890899,0 days 00:01:52.999131,0.2,256,64,0.15000000000000002,8,64,32.0,128.0,,4.527671818294576e-06,5,0.00042523725520619756,3,average,1.25,22,0.6529191732406616,0.5804727673530579,0.6845028400421143,0.6777510046958923,COMPLETE
13,0.6534314155578613,2026-07-24 15:27:46.896327,2026-07-24 15:29:03.608449,0 days 00:01:16.712122,0.2,256,64,0.1,8,64,32.0,128.0,,4.904812355625323e-06,5,0.0004104437973049482,3,average,1.25,12,0.6534314155578613,0.5928486585617065,0.6410338282585144,0.6780065298080444,COMPLETE
