number,value,datetime_start,datetime_complete,duration,params_LeakyReLU_alpha,params_batch_size,params_dropout_rate,params_embedding_dim,params_kernel_regularizer,params_learning_rate,params_n_dense_layers,params_positive_class_weight,params_units_l1,params_units_l2,params_units_l3,user_attrs_best_epoch,user_attrs_best_val_pr_auc,user_attrs_best_val_precision,user_attrs_best_val_recall,user_attrs_best_val_roc_auc,state
0,0.6491554975509644,2026-07-15 22:26:10.804020,2026-07-15 22:26:40.393729,0 days 00:00:29.589709,0.05,128,0.0,7,1.1023167156305468e-06,0.001876379350913458,3,1.35,64,128.0,256.0,1,0.6491554975509644,0.5808206796646118,0.6727544665336609,0.6726508140563965,COMPLETE
1,0.6548234224319458,2026-07-15 22:26:40.421077,2026-07-15 22:28:15.936996,0 days 00:01:35.515919,0.05,128,0.4,8,1.6149902467407957e-06,0.00043954346671060655,2,1.0,64,32.0,,30,0.6548234224319458,0.6327683329582214,0.5143650770187378,0.6782838106155396,COMPLETE
2,0.6542098522186279,2026-07-15 22:28:15.960171,2026-07-15 22:29:39.959361,0 days 00:01:23.999190,0.2,128,0.4,7,1.2971771832718408e-06,0.001050202823081753,2,1.4,32,32.0,,30,0.6542098522186279,0.5656918883323669,0.7251949310302734,0.6766636371612549,COMPLETE
3,0.6544772982597351,2026-07-15 22:29:39.988419,2026-07-15 22:31:03.403710,0 days 00:01:23.415291,0.2,128,0.05,6,0.00017268894690646963,0.0008732072931403133,1,1.4,256,,,25,0.6544772982597351,0.5744096040725708,0.7144078016281128,0.6793322563171387,COMPLETE
4,0.6526029706001282,2026-07-15 22:31:03.437742,2026-07-15 22:31:49.591578,0 days 00:00:46.153836,0.05,512,0.4,3,4.680548284536388e-07,0.0005850538196302679,2,1.05,32,64.0,,50,0.6526029706001282,0.6261788010597229,0.531880795955658,0.6754077672958374,COMPLETE
5,0.6552955508232117,2026-07-15 22:31:49.610450,2026-07-15 22:33:16.346832,0 days 00:01:26.736382,0.2,128,0.15000000000000002,5,0.00014114009712565067,0.002037760247068419,2,1.25,32,256.0,,25,0.6552955508232117,0.5894962549209595,0.6461604237556458,0.6786683797836304,COMPLETE
6,0.6550402641296387,2026-07-15 22:33:16.373855,2026-07-15 22:34:55.601449,0 days 00:01:39.227594,0.05,128,0.2,5,9.052866248987646e-05,0.0008945793550271676,1,1.35,128,,,27,0.6550402641296387,0.5803674459457397,0.6983872652053833,0.6802819967269897,COMPLETE
7,0.6546317934989929,2026-07-15 22:34:55.636022,2026-07-15 22:38:03.943961,0 days 00:03:08.307939,0.3,128,0.2,5,1.2761189652658414e-05,1.4918082520488725e-05,3,1.4,64,128.0,256.0,50,0.6546317934989929,0.5680422782897949,0.7115240693092346,0.6763644218444824,COMPLETE
8,0.6556905508041382,2026-07-15 22:38:03.965307,2026-07-15 22:38:50.960120,0 days 00:00:46.994813,0.1,512,0.1,4,8.716800135791861e-06,0.00032940307900189886,2,1.05,32,64.0,,39,0.6556905508041382,0.6271018981933594,0.5417067408561707,0.6793252825737,COMPLETE
9,0.6564576029777527,2026-07-15 22:38:50.998670,2026-07-15 22:39:28.089584,0 days 00:00:37.090914,0.1,512,0.30000000000000004,4,0.00040934023122836003,0.0014145242394930345,1,1.3,64,,,37,0.6564576029777527,0.5840798020362854,0.6755313277244568,0.6806235313415527,COMPLETE
