number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_positive_class_weight,user_attrs_best_epoch,user_attrs_best_val_pr_auc,user_attrs_best_val_precision,user_attrs_best_val_recall,user_attrs_best_val_roc_auc,state
0,0.6439992785453796,2026-07-26 11:18:30.358069,2026-07-26 11:19:58.497598,0 days 00:01:28.139529,64,0.01,1.3,1,0.6439992785453796,0.5828484296798706,0.6525686383247375,0.6702342629432678,COMPLETE
1,0.6262302398681641,2026-07-26 11:19:58.523483,2026-07-26 11:20:26.738586,0 days 00:00:28.215103,256,1e-05,1.2,45,0.6262302398681641,0.5657529234886169,0.6965715885162354,0.6567504405975342,COMPLETE
2,0.6484304070472717,2026-07-26 11:20:26.754353,2026-07-26 11:20:48.839801,0 days 00:00:22.085448,512,0.01,1.25,2,0.6484304070472717,0.5953120589256287,0.6347324848175049,0.6756188273429871,COMPLETE
3,0.5955822467803955,2026-07-26 11:20:48.875324,2026-07-26 11:21:08.534928,0 days 00:00:19.659604,512,1e-06,1.1,40,0.5955822467803955,0.855614960193634,0.01708853989839554,0.6292403936386108,COMPLETE
4,0.6481659412384033,2026-07-26 11:21:08.547940,2026-07-26 11:21:29.031526,0 days 00:00:20.483586,512,0.0001,1.35,45,0.6481659412384033,0.5716724991798401,0.7151554226875305,0.6752476692199707,COMPLETE
5,0.6321289539337158,2026-07-26 11:21:29.049130,2026-07-26 11:21:58.977416,0 days 00:00:29.928286,256,0.1,1.15,1,0.6321289539337158,0.6220225095748901,0.46576952934265137,0.6564241051673889,COMPLETE
6,0.6445456743240356,2026-07-26 11:21:58.989935,2026-07-26 11:23:28.993620,0 days 00:01:30.003685,64,1e-05,1.4,45,0.6445456743240356,0.5543228983879089,0.7737904787063599,0.6712420582771301,COMPLETE
7,0.617767333984375,2026-07-26 11:23:29.023183,2026-07-26 11:24:19.733040,0 days 00:00:50.709857,128,1e-06,1.2,44,0.617767333984375,0.502906322479248,0.9240627884864807,0.6497427821159363,COMPLETE
8,0.6446859836578369,2026-07-26 11:24:19.744616,2026-07-26 11:25:54.529172,0 days 00:01:34.784556,64,1e-05,1.05,45,0.6446859836578369,0.6348472237586975,0.48371249437332153,0.6712257862091064,COMPLETE
9,0.6503198146820068,2026-07-26 11:25:54.543121,2026-07-26 11:27:35.279012,0 days 00:01:40.735891,64,0.0001,1.35,26,0.6503198146820068,0.5806799530982971,0.6895225644111633,0.6771867275238037,COMPLETE
10,0.6504056453704834,2026-07-26 11:27:35.298229,2026-07-26 11:28:29.937967,0 days 00:00:54.639738,128,0.0001,1.0,45,0.6504056453704834,0.6497252583503723,0.4546619653701782,0.6771197319030762,COMPLETE
11,0.6504056453704834,2026-07-26 11:28:29.957562,2026-07-26 11:29:19.128139,0 days 00:00:49.170577,128,0.0001,1.0,45,0.6504056453704834,0.6497252583503723,0.4546619653701782,0.6771197319030762,COMPLETE
12,0.6504056453704834,2026-07-26 11:29:19.140695,2026-07-26 11:30:08.531995,0 days 00:00:49.391300,128,0.0001,1.0,45,0.6504056453704834,0.6497252583503723,0.4546619653701782,0.6771197319030762,COMPLETE
13,0.6500628590583801,2026-07-26 11:30:08.544843,2026-07-26 11:30:56.373383,0 days 00:00:47.828540,128,0.001,1.0,4,0.6500628590583801,0.6455864906311035,0.46555590629577637,0.6770303249359131,COMPLETE
14,0.6504878401756287,2026-07-26 11:30:56.388043,2026-07-26 11:31:43.635250,0 days 00:00:47.247207,128,0.0001,1.05,33,0.6504878401756287,0.6391347050666809,0.4859553575515747,0.6772376298904419,COMPLETE
