number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,user_attrs_best_epoch,user_attrs_best_val_pr_auc,user_attrs_best_val_precision,user_attrs_best_val_recall,user_attrs_best_val_roc_auc,state
0,0.6498897671699524,2026-07-29 15:28:17.398470,2026-07-29 15:29:21.900495,0 days 00:01:04.502025,128,0.001,200,0.6498897671699524,0.6504315733909607,0.4507102370262146,0.6766451001167297,COMPLETE
1,0.6502803564071655,2026-07-29 15:29:21.908240,2026-07-29 15:31:15.457984,0 days 00:01:53.549744,64,0.001,200,0.6502803564071655,0.6487634778022766,0.4566912353038788,0.6770446300506592,COMPLETE
2,0.6502803564071655,2026-07-29 15:31:15.467077,2026-07-29 15:33:09.241576,0 days 00:01:53.774499,64,0.001,200,0.6502803564071655,0.6487634778022766,0.4566912353038788,0.6770446300506592,COMPLETE
3,0.650324821472168,2026-07-29 15:33:09.250611,2026-07-29 15:34:12.942704,0 days 00:01:03.692093,128,0.01,48,0.650324821472168,0.6478241086006165,0.46267223358154297,0.6772340536117554,COMPLETE
4,0.650324821472168,2026-07-29 15:34:12.948161,2026-07-29 15:35:16.170953,0 days 00:01:03.222792,128,0.01,48,0.650324821472168,0.6478241086006165,0.46267223358154297,0.6772340536117554,COMPLETE
5,0.6477290987968445,2026-07-29 15:35:16.176139,2026-07-29 15:35:39.745917,0 days 00:00:23.569778,512,0.001,199,0.6477290987968445,0.6595397591590881,0.4315924346446991,0.6733229756355286,COMPLETE
6,0.6494450569152832,2026-07-29 15:35:39.750595,2026-07-29 15:36:42.995896,0 days 00:01:03.245301,128,0.1,12,0.6494450569152832,0.6474766731262207,0.4672647714614868,0.6765429377555847,COMPLETE
7,0.6477290987968445,2026-07-29 15:36:43.000813,2026-07-29 15:37:06.904820,0 days 00:00:23.904007,512,0.001,199,0.6477290987968445,0.6595397591590881,0.4315924346446991,0.6733229756355286,COMPLETE
8,0.6114704608917236,2026-07-29 15:37:06.910161,2026-07-29 15:38:10.336986,0 days 00:01:03.426825,128,1e-06,199,0.6114704608917236,0.88345867395401,0.02509879320859909,0.6323553323745728,COMPLETE
9,0.6477290987968445,2026-07-29 15:38:10.341699,2026-07-29 15:38:33.909850,0 days 00:00:23.568151,512,0.001,199,0.6477290987968445,0.6595397591590881,0.4315924346446991,0.6733229756355286,COMPLETE
10,0.6322574615478516,2026-07-29 15:38:33.913988,2026-07-29 15:39:10.564092,0 days 00:00:36.650104,256,1e-05,193,0.6322574615478516,0.7666666507720947,0.11791092902421951,0.6566996574401855,COMPLETE
11,0.650324821472168,2026-07-29 15:39:10.568950,2026-07-29 15:40:14.139991,0 days 00:01:03.571041,128,0.01,48,0.650324821472168,0.6478241086006165,0.46267223358154297,0.6772340536117554,COMPLETE
12,0.650324821472168,2026-07-29 15:40:14.145142,2026-07-29 15:41:17.800013,0 days 00:01:03.654871,128,0.01,48,0.650324821472168,0.6478241086006165,0.46267223358154297,0.6772340536117554,COMPLETE
13,0.6405656933784485,2026-07-29 15:41:17.805323,2026-07-29 15:41:54.760354,0 days 00:00:36.955031,256,0.0001,196,0.6405656933784485,0.6626463532447815,0.39901742339134216,0.6651564836502075,COMPLETE
14,0.650324821472168,2026-07-29 15:41:54.765312,2026-07-29 15:42:58.020372,0 days 00:01:03.255060,128,0.01,48,0.650324821472168,0.6478241086006165,0.46267223358154297,0.6772340536117554,COMPLETE
