number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_embedding_dims,params_learning_rate,params_num_heads,params_num_transformer_blocks,params_positive_class_weight,params_use_column_embedding,params_weight_decay,user_attrs_best_epoch,user_attrs_best_val_pr_auc,user_attrs_best_val_precision,user_attrs_best_val_recall,user_attrs_best_val_roc_auc,state
0,0.6153582334518433,2026-07-29 16:15:33.244572,2026-07-29 16:22:28.827370,0 days 00:06:55.582798,256,0.1,32,0.001,4,2,1.15,True,0.001,13,0.6153582334518433,0.5881174802780151,0.5645626187324524,0.6509760618209839,COMPLETE
1,0.5821954607963562,2026-07-29 16:22:28.837038,2026-07-29 16:31:46.112853,0 days 00:09:17.275815,256,0.0,32,0.0001,4,3,1.2,True,0.001,1,0.5821954607963562,0.5059818625450134,0.862757682800293,0.6191619038581848,COMPLETE
2,0.6296050548553467,2026-07-29 16:31:46.123519,2026-07-29 16:44:10.441170,0 days 00:12:24.317651,128,0.2,16,0.001,8,4,1.15,True,1e-05,14,0.6296050548553467,0.6157540678977966,0.5476877093315125,0.668705940246582,COMPLETE
3,0.6063079833984375,2026-07-29 16:44:10.448596,2026-07-29 16:46:22.766434,0 days 00:02:12.317838,128,0.05,8,0.0003,2,2,1.35,True,0.001,12,0.6063079833984375,0.5513442158699036,0.716223418712616,0.644725501537323,COMPLETE
4,0.6061384677886963,2026-07-29 16:46:22.773708,2026-07-29 16:51:39.643737,0 days 00:05:16.870029,128,0.15000000000000002,8,0.0001,8,3,1.25,True,1e-05,13,0.6061384677886963,0.5634303689002991,0.6427426934242249,0.6414228677749634,COMPLETE
5,0.6345449686050415,2026-07-29 16:51:39.650136,2026-07-29 16:55:31.796862,0 days 00:03:52.146726,64,0.25,16,0.001,2,2,1.25,True,0.0001,11,0.6345449686050415,0.5276213884353638,0.860942006111145,0.6705678105354309,COMPLETE
6,0.6060242652893066,2026-07-29 16:55:31.804471,2026-07-29 16:59:50.719749,0 days 00:04:18.915278,128,0.3,4,0.0003,8,3,1.4,True,0.001,12,0.6060242652893066,0.5237705111503601,0.8189682960510254,0.6401740908622742,COMPLETE
7,0.6311700344085693,2026-07-29 16:59:50.726247,2026-07-29 17:05:05.462232,0 days 00:05:14.735985,64,0.0,32,0.001,2,1,1.3,True,1e-05,9,0.6311700344085693,0.5131168365478516,0.8961871266365051,0.6617935299873352,COMPLETE
8,0.6383844017982483,2026-07-29 17:05:05.472082,2026-07-29 17:10:35.439476,0 days 00:05:29.967394,128,0.2,32,0.001,2,2,1.2,True,0.0001,15,0.6383844017982483,0.5736196041107178,0.6990280747413635,0.6733044385910034,COMPLETE
9,0.5967187285423279,2026-07-29 17:10:35.447405,2026-07-29 17:13:37.562175,0 days 00:03:02.114770,128,0.0,16,0.003,2,2,1.1,True,0.0001,1,0.5967187285423279,0.5720090270042419,0.5412794947624207,0.6248911619186401,COMPLETE
10,0.6400082111358643,2026-07-29 17:13:37.569510,2026-07-29 17:14:21.548041,0 days 00:00:43.978531,512,0.3,4,0.003,2,1,1.0,True,0.0001,13,0.6400082111358643,0.6205009818077087,0.5450176000595093,0.6751303672790527,COMPLETE
11,0.6400082111358643,2026-07-29 17:14:21.553214,2026-07-29 17:15:05.830614,0 days 00:00:44.277400,512,0.3,4,0.003,2,1,1.0,True,0.0001,13,0.6400082111358643,0.6205009818077087,0.5450176000595093,0.6751303672790527,COMPLETE
12,0.6400082111358643,2026-07-29 17:15:05.835330,2026-07-29 17:15:50.353592,0 days 00:00:44.518262,512,0.3,4,0.003,2,1,1.0,True,0.0001,13,0.6400082111358643,0.6205009818077087,0.5450176000595093,0.6751303672790527,COMPLETE
13,0.6400082111358643,2026-07-29 17:15:50.358878,2026-07-29 17:16:34.559169,0 days 00:00:44.200291,512,0.3,4,0.003,2,1,1.0,True,0.0001,13,0.6400082111358643,0.6205009818077087,0.5450176000595093,0.6751303672790527,COMPLETE
14,0.6373138427734375,2026-07-29 17:16:34.564596,2026-07-29 17:17:18.437895,0 days 00:00:43.873299,512,0.25,4,0.003,2,1,1.05,True,0.0001,13,0.6373138427734375,0.6076215505599976,0.585816502571106,0.6742826700210571,COMPLETE
15,0.6406773328781128,2026-07-29 17:17:18.443589,2026-07-29 17:18:18.220927,0 days 00:00:59.777338,512,0.25,4,0.003,4,1,1.05,True,0.0001,13,0.6406773328781128,0.5998970866203308,0.622450053691864,0.6762871146202087,COMPLETE
16,0.6406773328781128,2026-07-29 17:18:18.226585,2026-07-29 17:19:18.258988,0 days 00:01:00.032403,512,0.25,4,0.003,4,1,1.05,True,0.0001,13,0.6406773328781128,0.5998970866203308,0.622450053691864,0.6762871146202087,COMPLETE
17,0.6417035460472107,2026-07-29 17:19:18.263430,2026-07-29 17:20:18.320218,0 days 00:01:00.056788,512,0.2,4,0.003,4,1,1.1,True,0.0001,14,0.6417035460472107,0.6134836673736572,0.5753498077392578,0.6766461730003357,COMPLETE
18,0.6408452987670898,2026-07-29 17:20:18.326057,2026-07-29 17:22:01.777306,0 days 00:01:43.451249,512,0.15000000000000002,4,0.003,4,2,1.1,True,0.0001,14,0.6408452987670898,0.6467481255531311,0.4577592611312866,0.6741921901702881,COMPLETE
19,0.606797456741333,2026-07-29 17:22:01.782065,2026-07-29 17:25:34.444017,0 days 00:03:32.661952,512,0.15000000000000002,8,0.0003,4,4,1.1,True,1e-05,15,0.606797456741333,0.5899964570999146,0.5303855538368225,0.6415489912033081,COMPLETE
20,0.6394749879837036,2026-07-29 17:25:34.450529,2026-07-29 17:27:24.639537,0 days 00:01:50.189008,256,0.15000000000000002,4,0.003,4,2,1.1,True,0.0001,14,0.6394749879837036,0.6307351589202881,0.5168215036392212,0.6756073236465454,COMPLETE
21,0.6424262523651123,2026-07-29 17:27:24.645117,2026-07-29 17:28:24.692670,0 days 00:01:00.047553,512,0.2,4,0.003,4,1,1.05,True,0.0001,14,0.6424262523651123,0.6078133583068848,0.5982056856155396,0.6768467426300049,COMPLETE
22,0.6366584897041321,2026-07-29 17:28:24.697995,2026-07-29 17:30:08.018794,0 days 00:01:43.320799,512,0.2,4,0.003,4,2,1.15,True,0.0001,15,0.6366584897041321,0.5925741791725159,0.6358004808425903,0.672533392906189,COMPLETE
23,0.6051144599914551,2026-07-29 17:30:08.023994,2026-07-29 17:32:35.614868,0 days 00:02:27.590874,512,0.1,4,0.0001,4,3,1.1,True,0.0001,12,0.6051144599914551,0.5320791602134705,0.7581971883773804,0.6375232338905334,COMPLETE
24,0.6428654193878174,2026-07-29 17:32:35.624358,2026-07-29 17:33:35.971390,0 days 00:01:00.347032,512,0.1,4,0.003,4,1,1.05,True,0.0001,15,0.6428654193878174,0.6506167054176331,0.46758517622947693,0.6765361428260803,COMPLETE
25,0.6381102204322815,2026-07-29 17:33:35.976954,2026-07-29 17:35:17.499628,0 days 00:01:41.522674,64,0.1,4,0.003,4,1,1.05,True,0.0001,8,0.6381102204322815,0.5905457139015198,0.6391113996505737,0.670885443687439,COMPLETE
26,0.6421096920967102,2026-07-29 17:35:17.504941,2026-07-29 17:36:17.580820,0 days 00:01:00.075879,512,0.05,4,0.003,4,1,1.05,True,0.0001,15,0.6421096920967102,0.6030241847038269,0.6048275232315063,0.6757290363311768,COMPLETE
27,0.6354443430900574,2026-07-29 17:36:17.586688,2026-07-29 17:37:25.477301,0 days 00:01:07.890613,512,0.05,8,0.003,4,1,1.05,True,0.0001,13,0.6354443430900574,0.6085602045059204,0.5633878111839294,0.6712027788162231,COMPLETE
28,0.6004590392112732,2026-07-29 17:37:25.482391,2026-07-29 17:39:21.768237,0 days 00:01:56.285846,512,0.05,16,0.0001,4,1,1.0,True,0.001,14,0.6004590392112732,0.5857307314872742,0.5436291694641113,0.63929283618927,COMPLETE
29,0.6074748039245605,2026-07-29 17:39:21.773395,2026-07-29 17:43:22.835494,0 days 00:04:01.062099,256,0.1,32,0.0003,4,1,1.05,True,1e-05,13,0.6074748039245605,0.5742793679237366,0.608565628528595,0.6447463631629944,COMPLETE
