iter	Logloss
0	0.6920652698
1	0.6910063574
2	0.6899706679
3	0.6889584106
4	0.6879555681
5	0.6869740656
6	0.686008324
7	0.6850770334
8	0.6841555061
9	0.6832548308
10	0.6823406959
11	0.6814753781
12	0.6805984836
13	0.6797481596
14	0.6789343787
15	0.6781225504
16	0.6773086998
17	0.6765475018
18	0.6757565255
19	0.6750220374
20	0.6742837138
21	0.6735416242
22	0.6728159233
23	0.6721337393
24	0.6714742901
25	0.670806542
26	0.6701358649
27	0.6694960123
28	0.6688543465
29	0.6682555003
30	0.6676436826
31	0.6670368165
32	0.6664584037
33	0.6658755973
34	0.6653304499
35	0.6647764456
36	0.6642216742
37	0.6636928456
38	0.6631804754
39	0.6626659432
40	0.6621634061
41	0.6616692377
42	0.6612088228
43	0.6607412248
44	0.6603005459
45	0.6598427811
46	0.6593933849
47	0.658967909
48	0.6585614719
49	0.6581567782
50	0.6577400894
51	0.6573358839
52	0.6569450682
53	0.656543443
54	0.6561679699
55	0.6557924967
56	0.6554100496
57	0.6550554283
58	0.6546905554
59	0.654330634
60	0.6539827076
61	0.6536380589
62	0.6533096594
63	0.6529758899
64	0.6526516747
65	0.6523277384
66	0.6520093115
67	0.651695836
68	0.6513919845
69	0.6510958042
70	0.6508035991
71	0.6505109755
72	0.6502275574
73	0.6499532053
74	0.6496643476
75	0.6494011538
76	0.6491380296
77	0.6488835531
78	0.6486345162
79	0.6483824805
80	0.6481244473
81	0.6478831514
82	0.6476410186
83	0.6473990253
84	0.6471649822
85	0.6469232679
86	0.6467121688
87	0.6464908879
88	0.6462500105
89	0.6460400272
90	0.6458266965
91	0.6456080657
92	0.6453756963
93	0.6451728962
94	0.644976512
95	0.6447598339
96	0.6445594048
97	0.6443612772
98	0.6441538743
99	0.6439431239
100	0.643754132
101	0.643571835
102	0.6433966514
103	0.6431944092
104	0.6430063936
105	0.6428330232
106	0.6426492617
107	0.6424724741
108	0.6423048223
109	0.6421286623
110	0.6419665896
111	0.6418060511
112	0.6416439783
113	0.6414708869
114	0.64131258
115	0.6411398373
116	0.6409801356
117	0.6408241999
118	0.6406649167
119	0.6405022163
120	0.6403435607
121	0.6401835802
122	0.6400341999
123	0.6398996042
124	0.6397579649
125	0.6396269956
126	0.6394833338
127	0.6393460881
128	0.6391948946
129	0.639053604
130	0.6389314217
131	0.6388011499
132	0.6386725517
133	0.6385459759
134	0.6384206555
135	0.6382976364
136	0.6381758029
137	0.6380567589
138	0.6379383426
139	0.637820275
140	0.6377078562
141	0.6375729816
142	0.6374581219
143	0.6373243631
144	0.6371931148
145	0.6370733735
146	0.6369569796
147	0.6368481872
148	0.6367399527
149	0.6366280221
150	0.6365089782
151	0.6363917474
152	0.6362692165
153	0.636152195
154	0.6360410315
155	0.6359471632
156	0.6358473671
157	0.6357489658
158	0.635661095
159	0.6355568356
160	0.6354513907
161	0.6353421799
162	0.6352494274
163	0.6351597435
164	0.6350495563
165	0.6349623132
166	0.6348578446
167	0.6347603499
168	0.6346531615
169	0.6345365584
170	0.6344403888
171	0.6343458928
172	0.6342513969
173	0.6341393965
174	0.6340452493
175	0.6339413386
176	0.6338501901
177	0.6337608548
178	0.6336561073
179	0.6335730485
180	0.6334902687
181	0.6334188562
182	0.633326313
183	0.6332226115
184	0.6331263024
185	0.6330464516
186	0.6329594177
187	0.6328775444
188	0.6327619176
189	0.6326651203
190	0.632597404
191	0.632511207
192	0.6324304496
193	0.6323472513
194	0.6322669821
195	0.6321909669
196	0.632119136
197	0.6320443761
198	0.6319713597
199	0.6318830008
200	0.6318018947
201	0.6317294361
202	0.6316599067
203	0.6315732912
204	0.6315048078
205	0.6314352086
206	0.6313599605
207	0.631292035
208	0.6312250161
209	0.6311501167
210	0.6310498325
211	0.6309780016
212	0.630895152
213	0.6308293884
214	0.6307380307
215	0.6306527403
216	0.6305625682
217	0.6304998731
218	0.6304205802
219	0.6303473545
220	0.6302632497
221	0.6301695906
222	0.6300935754
