trial,prauc,recall,precision,accuracy,ROC-AUC,F1,F2,max_depth,min_child_weight,subsample,learning_rate,colsample_bytree,gamma,reg_alpha,reg_lambda,scale_pos_weight,n_estimators,best_trial
0,0.6462982908557536,0.5460856563067393,0.611676037803565,0.6227288741255221,0.6679492525990092,0.577022909378174,0.5580537425509157,8,0.1256705483597,0.3577597640039949,0.008425707455935702,0.6056458409091079,6.209778001435778,0.007179270155553822,0.0015675832298598848,1.1652873184121413,990,False
1,0.6466502970302097,0.3795791947025526,0.671960673095103,0.6203130504806482,0.6681052184641382,0.4851214851214851,0.4157600430499988,7,3.619513751916327,0.7037719022187447,0.014852595532916058,0.5621027949725219,3.7223489146031143,6.020277924786107,1.6861489665733853,0.8123871990922331,446,False
2,0.6464067249049374,0.40296913382462884,0.6646115906288532,0.6228295334440586,0.6684188784043474,0.5017287234042553,0.43740870412019756,6,14.448419042126734,0.35160178727711094,0.03970526141982069,0.76469984344127,1.7608512189022762,0.2514913272389672,0.02870237122095543,0.8237914873724497,122,False
3,0.6436094770967253,0.4868097831891488,0.6349958205628309,0.6263022799335648,0.6659084552143236,0.5511154101928541,0.5106430652027784,9,0.5023643285375574,0.3520101445351689,0.016482039344027845,0.8600910742680137,0.6942283016368345,0.18925623672781058,2.466403732213474,0.9865710388922346,197,False
4,0.642132478038209,0.43415571932073055,0.6529071635078703,0.6245910715184458,0.6669006205473307,0.52152158573353,0.46533724071615,6,88.66771560512123,0.20925163969705043,0.07320580523812316,0.41217439376992965,0.2741881234213728,3.0156844634870774,0.04643904007915521,0.8820277525449253,196,False
5,0.6454397463056553,0.4700416533162448,0.6458761373642501,0.6288187628969751,0.6669705571376809,0.5441058292637696,0.4971083901865992,6,25.39966661719706,0.6178586307745744,0.06683074559224111,0.9527851042780973,9.997863857593005,5.362410354548986,0.0016222653635832784,0.9057134483528493,233,False
6,0.6450629208729899,0.5150058741856243,0.627619419497592,0.6274598620967337,0.666993389840919,0.5657632289100082,0.5341752520217127,11,2.628930839441967,0.9141212541920938,0.057351145210264985,0.44823040591812974,9.979022575973481,9.458806962653831,6.412098615680519,1.068236893184511,311,False
7,0.6448119999859148,0.535832532308021,0.6173249661621755,0.6247420604962505,0.6668743009263673,0.5736992567181246,0.550363105816275,8,83.87031431176855,0.9623617773598028,0.037520259893252965,0.28614639214095794,7.196222791471632,0.05325987895013719,0.024572286519874732,1.1664010497783361,353,False
8,0.6460097921020668,0.5406386841824201,0.6144695314396699,0.6236851376516181,0.66825927313238,0.5751945912164081,0.5539505362223681,6,15.39049644837938,0.6682726530579233,0.05395307161492865,0.888265558456921,1.7289746795819283,0.5754663562810372,1.1897639465496506,1.1163163472211526,121,False
9,0.6457382530953881,0.4579728719427534,0.6496969696969697,0.6282148069857567,0.6677479212226601,0.5372423729875336,0.48669753927176973,9,39.72141004742369,0.4747840287671421,0.009791150087562837,0.4459575649781569,0.702275340995917,0.006702754686346603,0.013734442042562616,0.9241433313201097,827,False
